MOTOR,PROPELLER,MOTOR WEIGHT (g),PROPELLER WEIGHT PER BLADE (g),PROPELLER CONFIGURATION,MOTOR COST ($CAD),PROPELLER COST ($CAD),BATTERY VOLTAGE (V),CELL COUNT,THROTTLE (%),POWER (W),THRUST (g)
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,0,0,0
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,25,30,381
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,37.5,53,595
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,50,81,828
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,62.5,129,1211
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,75,189,1635
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,87.5,260,2080
KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)",360,18.8,2,365.84,222.37,25.2,6,100,328,2467
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,0,0,0
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,25,38,491
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,37.5,77,901
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,50,129,1362
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,62.5,198,1886
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,75,290,2458
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,87.5,393,3049
KDE6213XF-185,"21.5""x7.3 DUAL-EDN (KDE)",415,25.8,2,408.88,185,25.2,6,100,509,3662
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,0,0,0
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,50,249.6,1912
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,55,302.4,2207
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,60,348,2472
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,65,408,2805
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,75,573,3493
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,85,756,4191
P60 KV340,T-motor 20*6CF,345,47,2,155.15,156.59,24,6,100,1077,5302
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,0,0,0
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,50,336,2683
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,55,415.2,3075
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,60,484.8,3444
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,65,552,3802
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,75,746.4,4609
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,85,972,5459
P60 KV340,T-motor 22*6.6CF,345,47,2,155.15,202.61,24,6,100,1387.2,6762
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,0,0,0
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,19.3556,101.8,1274
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,23.7204,157.7,1921
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,28.29,209.5,2481
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,33.0644,296.4,3357
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,38.0436,386.5,4186
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,43.2276,471.6,4932
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,48.6164,599,5971
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,54.21,706.8,9782
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,60.0084,946.3,8509
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,66.0116,1090,9391
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,72.2196,1267,1053
U15II Power Type Heavy Lift Drone Motor KV80,"Xoar PJP-T-L 40""x10"" propeller",1740,395,2,992.04,1587.49,44.4,12,78.6324,1499,1190
