id,motor,propeller,battery,number_of_batteries,cost,useful_thrust,avail_weight,endurance,throttle
2bcdc958,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90, weight=1320.0, cost=119.99, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",1,2472.83,2571.8222222222225,12089.6,17.575038380150204,67.2038784067086
13d5254c,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90, weight=1320.0, cost=119.99, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",2,2592.82,1251.822222222223,10769.6,35.15007676030041,67.2038784067086
3d7797a3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90, weight=1320.0, cost=119.99, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",3,2712.81,-68.17777777777701,9449.6,52.72511514045061,67.2038784067086
ea750a14,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90, weight=1320.0, cost=119.99, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",4,2832.8,-1388.177777777777,8129.6,70.30015352060082,67.2038784067086
70246145,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 10000mAh 6S 12C Lipo Pack w/XT90, weight=1320.0, cost=119.99, voltage=22.2, capacity_milliamp_hours=10000.0, capacity_watt_hours=222.00)",5,2952.79,-2708.177777777777,6809.6,87.87519190075099,67.2038784067086
fd678397,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90, weight=2015.0, cost=235.17, voltage=22.2, capacity_milliamp_hours=16000.0, capacity_watt_hours=355.20)",1,2588.01,1876.8222222222225,11394.6,28.120061408240325,67.2038784067086
f8d6be61,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90, weight=2015.0, cost=235.17, voltage=22.2, capacity_milliamp_hours=16000.0, capacity_watt_hours=355.20)",2,2823.1800000000003,-138.177777777777,9379.6,56.24012281648065,67.2038784067086
8c3a8442,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90, weight=2015.0, cost=235.17, voltage=22.2, capacity_milliamp_hours=16000.0, capacity_watt_hours=355.20)",3,3058.3500000000004,-2153.177777777777,7364.6,84.36018422472097,67.2038784067086
aa3c71f3,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90, weight=2015.0, cost=235.17, voltage=22.2, capacity_milliamp_hours=16000.0, capacity_watt_hours=355.20)",4,3293.52,-4168.177777777777,5349.6,112.4802456329613,67.2038784067086
6ec34844,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 16000mAh 6S 12C Lipo Pack w/XT90, weight=2015.0, cost=235.17, voltage=22.2, capacity_milliamp_hours=16000.0, capacity_watt_hours=355.20)",5,3528.69,-6183.177777777777,3334.6000000000004,140.60030704120163,67.2038784067086
d470c45b,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90, weight=750.0, cost=84.82, voltage=22.2, capacity_milliamp_hours=5000.0, capacity_watt_hours=111.00)",1,2437.6600000000003,3141.8222222222225,12659.6,8.787519190075102,67.2038784067086
a6df5bb4,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90, weight=750.0, cost=84.82, voltage=22.2, capacity_milliamp_hours=5000.0, capacity_watt_hours=111.00)",2,2522.48,2391.8222222222225,11909.6,17.575038380150204,67.2038784067086
f9f36786,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90, weight=750.0, cost=84.82, voltage=22.2, capacity_milliamp_hours=5000.0, capacity_watt_hours=111.00)",3,2607.3,1641.8222222222225,11159.6,26.362557570225306,67.2038784067086
cea66409,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90, weight=750.0, cost=84.82, voltage=22.2, capacity_milliamp_hours=5000.0, capacity_watt_hours=111.00)",4,2692.12,891.822222222223,10409.6,35.15007676030041,67.2038784067086
45f3cab5,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy Heavy Duty 5000mAh 6S 60C LiPo Pack w/XT90, weight=750.0, cost=84.82, voltage=22.2, capacity_milliamp_hours=5000.0, capacity_watt_hours=111.00)",5,2776.94,141.822222222223,9659.6,43.937595950375496,67.2038784067086
4416338d,KDE5215-220KV,"18.5""x6.3 DUAL-EDN (KDE)","Battery(name=Turnigy High Capacity 20000mAh 6S 12C Lipo Pack w/XT90, weight=2630.0, cost=302.28, voltage=22.2, capacity_milliamp_hours=20000.0, capacity_watt_hours=444.00)",1,2655.12,1261.822222222223,10779.6,35.15007676030041,67.2038784067086
