Time (s),Throttle (µs),Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
1.2398837,1000,0.0,-0.0003056730710871,-6.40190024287e-05,24.989667740907,0.0097136394335162,0.2427406219985419,0.0,0.0,,,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
18.116069,1800,2740.000000000022,4.752220729587169,1.5109205036798,23.517903945826,33.486199202452,787.5252163540613,433.5316369127067,55.04987369417723,10.961646913311768,6.034372780579805,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
22.99124095,1764,2677.000000000008,4.472451224290558,1.4167583447356,23.60725506017,29.00861526491,684.8137795010713,397.1666451967446,57.99629871438988,11.26089332621333,6.530901331379478,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
27.86649885,1727,2606.999999999972,4.31691092941453,1.3582291835111,23.75577117666,24.175102923522,574.2982132233928,370.8025454759618,64.56620218174449,11.64207468930222,7.516845482044571,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
32.7437834,1691,2542.000000000047,4.06369943004084,1.2804399194102,23.828608755401,21.767940206276,518.6997305863136,340.850055917044,65.71240272898604,11.922249562516903,7.834396646875884,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
37.61824395,1654,2463.999999999984,3.8384463068546335,1.2100328818644,23.904927802008,19.496844406052,466.0706578936566,312.22415119421765,66.9907332517504,12.293880188874134,8.23576048361846,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
42.49345105,1618,2388.000000000024,3.570340310531221,1.1409499880943,23.980507904275,17.476271066913,419.0898564573597,285.3182480165518,68.08044709752633,12.513536499509488,8.519271596578205,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
47.3677306,1582,2317.999999999988,3.326426313985612,1.0564401512766,24.057639613133,15.414613776558,370.83922301206735,256.4406968335256,69.15144917806627,12.971522675845163,8.96999591080841,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
52.24266195,1545,2229.999999999988,3.101454986199467,0.98415505579136,24.132875774862,13.516344874064,326.1882717759793,229.824862466208,70.45773326395008,13.494862796471752,9.5081744334741,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
57.11836025,1509,2139.999999999982,2.838009418385381,0.91112294377882,24.197934924378,11.920055020469,288.44071568031416,204.1829031307404,70.7885163331245,13.89934894092565,9.839142895245123,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
61.9920575,1472,2060.0000000000086,2.6070173845984104,0.82765572526391,24.269528031161,10.169694451685,246.8136845635116,178.5441240384241,72.33963722642778,14.60153000631575,10.562693836076813,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
66.86869545,1436,1957.999999999964,2.385245089597773,0.76434229824456,24.327792308306,8.8748834367249,215.9063210090684,156.72172359094336,72.58783478801476,15.21962006890289,11.04759267097877,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
71.74367365,1400,1870.999999999968,2.1635247557080146,0.68315598912716,24.390146007665,7.4762946098996,182.3479171317701,133.8512050820476,73.40429613205986,16.163655414098255,11.864817485930406,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
76.61856335,1363,1770.0000000000211,1.9105289046550045,0.60857681414104,24.444970951619,6.2096432021017,151.79454769529443,112.80212645858512,74.3123703527343,16.936993695384356,12.58628148153328,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
81.49556685,1327,1662.99999999996,1.695701018846395,0.54785342266446,24.491122506484,5.2272966146434,128.0223617669606,95.4080998251833,74.52455845085477,17.773134796243042,13.245350229775356,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
86.37020535,1290,1543.9999999999554,1.4079192511477416,0.46215005926312,24.546230984286,4.0341325828588,99.0227502000864,74.7237961573742,75.4612409839017,18.841645145845547,14.218139248838126,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
91.2456383,1254,1382.0000000000018,1.1413924633881092,0.36669790097473,24.601090672567,2.8114507630537,69.16475514334175,53.06951089108043,76.72912422099313,21.50749920666684,16.502515783112507,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
96.1205989,1218,1254.9999999999711,0.9496596821334198,0.30657913750102,24.637692665262,2.1345634300671,52.590717764500695,40.29163971589774,76.61359538069479,23.56964593224821,18.057553167195035,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
101.00994045,1181,1118.0000000000036,0.7674132352822218,0.24979192757694,24.668190177803,1.5645243000494,38.59398297141273,29.24481112615858,75.77557140920321,26.241005010143297,19.88427148995373,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
105.89554655,1145,984.9999999999536,0.579803934975532,0.19321728454425,24.69473196144,1.0777369622813,26.61442540847328,19.93016172152315,74.88480933042408,29.09178275003084,21.78532604318179,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
110.77375865,1108,847.9999999999955,0.4171483915102813,0.1373191485066,24.716313675787,0.69731321041817,17.23501203896555,12.194263408913876,70.75285692487266,34.20857640366784,24.20354511892286,T-Motor Antigravity MN7005 KV230,T-Motor NS28x92
