Time (s),Throttle,Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
0.29780440000001,0.0,0.0,3.61014218397e-05,,22.565705769827,0.032094983869315,0.7242459626823061,,,,,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
8.6940772,0.6333333333333333,2574.999999999963,0.1840678724029612,,22.539281283877,2.3331191119902,52.58682793393644,,,,3.5002657440034466,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
12.6209142,0.6693333333333333,2761.9999999999977,0.2036279288593964,,22.532604270584,2.7534748500556,62.042959165308446,,,,3.2820473362149976,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
16.5726024,0.7066666666666667,2927.999999999964,0.2482916500407988,,22.525981376625,3.4173561027216,76.97929992720256,,,,3.225433983884008,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
20.4978042,0.7426666666666667,3096.0000000000323,0.2729594526817313,,22.518613446053,3.9575901558209,89.1194428968355,,,,3.062849629768317,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
24.459139,0.78,3276.000000000044,0.3124508738862405,,22.507994027563,4.7284211522979,106.42727505572368,,,,2.935815783337928,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
28.4382708,0.816,3434.999999999988,0.3350893357099315,,22.501076871507,5.3270611726921,119.86461294596516,,,,2.79556515867606,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
32.4646346,0.8533333333333334,3580.9999999999845,0.3755326994283777,,22.48980704156,6.1925885433995,139.27012142882987,,,,2.696434063355673,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
36.4759206,0.8893333333333333,3781.999999999969,0.4210133381945007,,22.475327470293,7.254892090234,163.0560754896476,,,,2.5820156466431743,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
40.4741232,0.9266666666666666,3951.000000000041,0.4480850025791274,,22.463391441377,8.0994705152934,181.9415766529271,,,,2.462796084448016,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
44.4871046,0.9626666666666667,4049.999999999981,0.4746758838078957,,22.455630399387,8.7482294579145,196.4470073559577,,,,2.4163049882851784,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
48.5024126,1.0,4129.000000000046,0.5051913448335875,,22.444769287078,9.4708467298831,212.5709698055033,,,,2.3765773157822254,"https://database.tytorobotics.com/tests/w3d7/fl3510-catalouge-data-15inch-22v
",undefined
