Time (s),Throttle,Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
0.0,0.0,0.0,4.97700880133e-05,,8.0208719039182,0.0081730442186212,0.0655549407426198,,,,,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
8.526016,0.125,671.9999999999965,0.0002849430088207,,8.0197632403009,0.035910468731914,0.2879934570781788,,,,0.989407925136953,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
12.4011846,0.15,1394.0000000000412,0.0031075219443669,,8.0191681748294,0.073705321749258,0.5910553704872109,,,,5.257581775807881,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
16.3006626,0.175,1948.0000000000264,0.0067191404366231,,8.0176044053736,0.10785393982928,0.8647302231121345,,,,7.770215793361717,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
20.2009948,0.2,2490.999999999977,0.0125982595798157,,8.0168796919783,0.15926159530509,1.2767810491134424,,,,9.867204395431452,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
24.1013724,0.225,3010.000000000039,0.0177049526313552,,8.0137651711379,0.23579880403661,1.889636243184556,,,,9.369503096277173,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
27.9916936,0.25,3483.999999999956,0.0253485857076361,,8.0122154014916,0.32548353116004,2.6078441612923435,,,,9.720130552231463,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
31.851403,0.275,3958.9999999999714,0.0331071027871413,,8.007974123326,0.4240695426474,3.3959379240110703,,,,9.749030614799146,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
35.7515946,0.3,4392.000000000041,0.0405699476683067,,8.0041659924647,0.54602502884303,4.370474966899937,,,,9.28273196290237,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
39.6514578,0.325,4807.99999999996,0.0491718770444025,,7.999344420218,0.68894618746141,5.511117840499894,,,,8.922305504529426,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
43.5513526,0.35,5205.000000000009,0.0599049005749486,,7.9955544121006,0.85876646713727,6.866314015283444,,,,8.724462709047211,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
47.4513962,0.375,5600.999999999959,0.0681059438868798,,7.9906284951702,1.0304783909179,8.23416999412571,,,,8.271136488008734,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
51.3519774,0.4,5940.000000000009,0.0766460176627441,,7.9859619890559,1.2037131942238,9.612807814796328,,,,7.973322585807683,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
55.251737,0.425,6183.000000000035,0.0838833968713271,,7.9803044307687,1.3410605242202,10.702071243363456,,,,7.838052556727717,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
59.1519374,0.45,6470.000000000013,0.0926598561414999,,7.974793270072,1.5174153911451,12.101074049207616,,,,7.657159667374097,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
63.0521646,0.475,6778.999999999965,0.1016012588284398,,7.9689222141667,1.7201689996639,13.707892953542563,,,,7.411880087828,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
66.9523482,0.5,7068.0000000000455,0.1115152023369856,,7.9615189617048,1.9359576196425,15.413163297840653,,,,7.235062665728627,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
70.8521638,0.525,7382.000000000015,0.1205788895329495,,7.9539474757878,2.1807663534106,17.345701031993208,,,,6.951514344133359,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
74.7524836,0.55,7703.000000000007,0.1324240511329149,,7.9454107327363,2.4755160229422,19.66899157774564,,,,6.732630425382118,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
78.6523038,0.575,7962.999999999994,0.1445044806159799,,7.9358414319787,2.7538324601681,21.85397773412984,,,,6.612273626979318,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
82.5529942,0.6,8298.000000000031,0.1536057160924067,,7.9257013532104,3.0746975490166,24.36913452495357,,,,6.303289759228714,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
86.4530528,0.625,8674.000000000011,0.1663544948760586,,7.9148546397562,3.4318609658444,27.162680688511745,,,,6.124376926700649,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
90.3277114,0.65,9070.999999999964,0.1823165330806646,,7.8996654066413,3.9421382026969,31.14157278804381,,,,5.854442045093545,MultiStar Elite 2306 2150KV CCW,Gemfan 6030 Thick hub
