Time (s),Throttle,Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
1.2365770499998,0.0,0.0,-0.000635890068931,-9.1688641711e-05,25.022694570086,-0.0050470400760859,0.126290542306881,0.0,0.0,,,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
19.816605,1.0,2856.0000000000164,3.8155282344677337,1.1370342766869,24.037446169781,17.938596446338,431.1980464402744,340.0637801054439,78.86487031024767,11.220037115639451,8.848667720010706,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
24.79112525,0.954,2718.999999999953,3.4217309988855527,1.0295411280636,24.107600080899,15.416646649024,371.6583520032023,293.14434860589114,78.874683435976,11.67251224578712,9.20665708289012,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
29.76473365,0.907,2627.000000000036,3.1896610463940287,0.95387793490473,24.160326750594,13.751314595219,332.2362538707033,262.41067209035214,78.98315401559842,12.155226085072403,9.600580939716927,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
34.74269905,0.861,2536.000000000027,2.9882087107310857,0.88792617434149,24.211814761621,12.273867321602,297.1726019993409,235.805931668935,79.34982231957507,12.67232206408806,10.055465041618184,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
39.71733335,0.815,2446.0000000000214,2.72983157813392,0.81326035463236,24.271888465687,10.78009987069,261.6533817103545,208.31218400404887,79.61379388348462,13.10452190391735,10.433007058000854,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
44.6911668,0.769,2348.9999999999923,2.568025008496173,0.75694792670518,24.32653277614,9.5600117855555,232.5619400416005,186.19912617729287,80.06431583086456,13.791820945770612,11.042327080849114,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
49.66568645,0.722,2251.999999999964,2.2974836807285874,0.68914609175633,24.387186029727,8.303283858229,202.49372810826,162.52055685332346,80.25955093603417,14.136572783233149,11.34594983356855,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
54.64038445,0.676,2146.0000000000014,2.130814077187011,0.63060193368336,24.441854783788,7.1635589466458,175.09066750902196,141.71428623731344,80.9376583306539,15.035986376269571,12.169775279868734,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
59.62147105,0.63,2047.9999999999693,1.928579350325749,0.57213112148736,24.489508154221,6.2239166605995,152.4206578109434,122.70270656203112,80.5026748501681,15.717496413583794,12.653005032414194,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
64.63284095,0.583,1941.000000000004,1.749586752648356,0.5178278607024,24.538825834637,5.3226552571576,130.61171033320537,105.25423193453877,80.5856011425187,16.622483680622782,13.39532839884694,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
69.6250549,0.537,1837.999999999956,1.5529173828965042,0.46391578409054,24.582215153399,4.5043567276065,110.72706620568324,89.29214874862123,80.64166405597241,17.391421358537784,14.024731586510672,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
74.64631835,0.491,1739.000000000016,1.3830667073637788,0.41352806123682,24.62285907057,3.774593260335,92.94127789795203,75.30662515831264,81.02602725238837,18.36580386461669,14.881081244464518,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
79.68150865,0.444,1623.0000000000211,1.2147173577287862,0.35786073681306,24.659664292852,3.1144282574017,76.80075529169798,60.82206900230635,79.1946235050648,19.97165465848793,15.816476714521256,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
84.67464875,0.398,1512.0000000000423,1.0370983057154075,0.31838180922581,24.692662358639,2.5465379682352,62.88080223308637,50.41138802618317,80.16975966578542,20.57269887464216,16.49308324456636,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
89.68666565,0.352,1353.0000000000032,0.8160121512325412,0.24983939779639,24.737370293576,1.8009916443472,44.55179720185302,35.39870211291918,79.45516081548078,23.05203588056772,18.31603218014741,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
94.6468036,0.306,1233.9999999999986,0.6742867864675195,0.20938665573089,24.764304497731,1.3713414565425,33.960317400180415,27.057818432813686,79.67481020265711,24.920219940931943,19.85513794002224,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
99.6429772,0.259,1091.0000000000114,0.5230282143082092,0.16262239537935,24.789722755573,0.9610929653979,23.825228154545457,18.579487166418136,77.98241026654547,28.15084235767105,21.95270538084749,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
104.64564085,0.213,962.9999999999776,0.397996697367674,0.12701707639636,24.809019929314,0.68756434085131,17.057797434865794,12.809052842200686,75.09206795960209,31.07151654932945,23.332244323301484,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
109.61950425,0.167,842.9999999999983,0.3083177665558065,0.094836895420333,24.822728332052,0.48941651511118,12.148653195824444,8.372082919764047,68.91367120959198,36.82688878151914,25.378761051618216,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
114.61530055,0.12,692.999999999998,0.1996628014687584,0.063774991461871,24.837093936546,0.29553111106311,7.340133966646271,4.628201531631334,63.0533659557439,43.14047262293307,27.20152007797549,T-Motor Antigravity MN6007II KV160,T-Motor NS26x85
