Time (s),Throttle,Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
0.34742419999999,0.0,0.0,-9.34256752621e-05,-0.0017938857416643,96.010173181673,-0.0082224846511355,0.7894421753391674,0.0,0.0,,,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
8.5563414,0.125,26.00000000000044,0.1709534988989308,0.087819168853896,96.06557463966,0.33285524116999,31.975930014817703,0.2391064482869971,0.7477701138831452,714.9681663697211,5.346318271891097,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
12.5264546,0.16666666666666666,233.9999999999963,1.3900086629436148,0.49010765342719,95.857009622671,0.49859831716139,47.79414368598693,12.009805107104752,25.12819391850718,115.73948540774524,29.08324233354056,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
16.4938492,0.20833333333333334,345.0000000000037,2.4325114633039826,1.2895738648934,95.822395236144,1.1434230821995,109.56553850465046,46.59013147242127,42.52261441716345,52.21087355685812,22.201428446415527,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
20.4515664,0.25,418.9999999999958,3.4024037310801347,2.0516073937974,95.816031628121,1.8091274824764,173.34341608026168,90.01956220578074,51.93134198076481,37.79627058508005,19.62811053351314,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
24.4333008,0.2916666666666667,501.99999999999807,4.448095427005247,2.8863641848422,95.823500956868,2.7846262210009,266.8326333525995,151.73419401266085,56.86493143893513,29.31504962311984,16.669982869476907,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
28.3854508,0.3333333333333333,574.9999999999965,5.79482908184324,3.8522762468359,95.816983078891,3.9293212129962,376.49570417718434,231.9604195026126,61.610376142153456,24.98197362407328,15.391487917525106,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
32.350785,0.375,633.0000000000035,6.767895589883701,4.7014945644668,95.822869727271,4.972750211261,476.50319567992216,311.6508145555099,65.40371971919633,21.716277557420707,14.203253307098173,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
36.3099528,0.4166666666666667,692.0000000000042,8.243911523917648,5.8173745382328,95.821179532888,6.4386389316059,616.9579770128511,421.5622736614957,68.32917141335781,19.55561974821616,13.362192938703068,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
40.2645042,0.4583333333333333,741.0000000000011,9.54800406126037,6.78847480341,95.802257442798,7.7245219197454,740.026637577985,526.7675775153658,71.18224544448975,18.125648708859373,12.902243752346266,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
44.2278008,0.5,807.9999999999992,11.528368640257376,8.2711596004859,95.806171272435,9.9316856353609,951.5167750053688,699.8522767981524,73.5512284367455,16.472574316683016,12.115780765076194,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
48.1933578,0.5416666666666666,879.0000000000007,13.88677530025748,9.9973019962128,95.801161786619,12.570589833032,1204.2771103475268,920.2382998557072,76.41416514095727,15.090412236085934,11.531212526533928,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
52.176547,0.5833333333333334,941.0000000000016,16.512743529728297,11.836710511845,95.782396531457,15.647392897474,1498.7447911893585,1166.404718075573,77.82543932312517,14.156958792975676,11.017715375427118,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
56.1464472,0.625,1008.0000000000284,18.632338845637403,13.517535952478,95.789507028046,18.580620269154,1779.828455857581,1426.8774792028505,80.16938230798951,13.058121049080317,10.468614986077249,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
60.1370626,0.6666666666666666,1082.9999999999854,21.163084736844898,15.77661566048,95.794323622862,23.419640562,2243.468627127333,1789.2495648547745,79.75371454807606,11.827911070953713,9.43319843252871,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
64.1148718,0.7083333333333334,1139.9999999999795,24.15866196801966,17.638691940494,95.77521047638,26.97892224664,2583.9119565978367,2105.716230729161,81.49334288857494,11.472895357630442,9.349645953041174,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
68.0990316,0.75,1210.000000000016,26.40827824507961,19.687248869612,95.626391052446,31.354364229872,2998.3046950465646,2494.589095532769,83.19998630072611,10.586223716110489,8.807736681568146,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
72.086417,0.7916666666666666,1264.0000000000005,30.0398246301418,21.901476877182,95.641188212969,36.126453549816,3455.176943425034,2899.0058613064616,83.90325325662617,10.362112416221226,8.6941494233184,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
76.081563,0.8333333333333334,1336.0000000000434,32.48641313460866,23.948789580138,95.588952134589,42.03965233592,4018.5263148930194,3350.569604006508,83.37806801436129,9.69578817158802,8.084160856235057,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
80.0560302,0.875,1398.9999999999618,37.07736242220534,27.892321100022,95.530337182891,50.545935769364,4828.670287272094,4086.306972403087,84.62592658633568,9.07356267471036,7.678586487865545,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
84.0198784,0.9166666666666666,1459.999999999969,40.32623621895245,30.268042909855,95.49515962119,56.817583704134,5425.8042251166,4627.706580548102,85.29070324959343,8.71408666842837,7.432305801281624,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
88.003428,0.9583333333333334,1527.9999999999989,43.85258183836479,33.131043581385,95.44764511104,65.022232832928,6206.219003764725,5301.357449631755,85.42008341013947,8.27195341099116,7.065909503316525,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
91.9885092,1.0,1576.999999999967,47.795411482662274,37.028889568487,95.340167894879,74.319732988073,7085.6558209854575,6115.063903040493,86.3020171672694,7.81601177690028,6.745375825496277,T-Motor U15XXL Kv29,"T-Motor 62""x24"" CF"
