Time (s),Throttle,Rotation speed (rpm),Thrust (kgf),Torque (N⋅m),Voltage (V),Current (A),Electrical power (W),Mechanical power (W),Motor & ESC efficiency (%),Propeller efficiency (gf/W),Propulsion system efficiency (gf/W),Motor_Name,Propeller_Name
0.53256660001755,0.0,0.0,-0.0001432394418692,,12.574712550137,-0.0050867122013155,0.063963943756817,,,,,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
10.922996000018,0.25,6885.000000000025,0.0348594267630026,,12.526154983161,1.2232607877949,15.322754212742536,,,,2.275010502616642,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
16.011241800013,0.375,9348.000000000004,0.0660457264221043,,12.473190469855,2.3687366945335,29.54570396385109,,,,2.235374946655892,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
20.827428000031,0.4375,10374.000000000471,0.0822945373672742,,12.436842628204,3.0383516492377,37.78750131071335,,,,2.177824267622121,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
25.55111400003,0.5,11423.000000000253,0.0993836950250054,,12.389873535748,3.8434757825828,47.62017888391097,,,,2.0870080153895314,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
30.232853799996,0.5625,12328.000000000327,0.1156074893944415,,12.344136231446,4.722703722811,58.29769813513617,,,,1.983054101492296,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
35.059406800022,0.625,13289.000000000397,0.1335487298555266,,12.289056585852,5.763062470773,70.82260081112943,,,,1.885679547573747,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
39.754941800022,0.6875,14313.999999999904,0.1521060924253746,,12.222885924133,6.9274697656773,84.673672688754,,,,1.7963800033156792,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
44.614238600016,0.75,15162.000000000178,0.178257406028032,,12.14585757511,8.3011593578257,100.82469926844254,,,,1.7679934313855714,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
49.528660400009,0.8125,16398.999999999996,0.208574674707632,,12.044260017161,10.239218456876,123.32380946712854,,,,1.6912766124308445,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
54.269054800005,0.875,17898.000000000284,0.2386857236830926,,11.922243539826,12.571340168215,149.8785791074564,,,,1.5925272651001403,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
59.054060600033,0.9375,19404.00000000021,0.2864545026509562,,11.756958768662,15.947941454443,187.49929012492183,,,,1.5277631315836198,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
63.870225200014,1.0,20662.99999999972,0.3361797200655779,,11.539376790026,20.286406719074,234.09249084711,,,,1.4360978382905198,"https://database.tytorobotics.com/tests/ez4d/xilo-stealth-2206-2600kv-with-gemfan-w-5043
",undefined
